Category,Card Name,Mana Cost,Type,Price (USD),Inclusion,Synergy,EDHREC Sections,Note
Lifegain,"Sheoldred, the Apocalypse",{2}{B}{B},Legendary Creature — Phyrexian Praetor,$97.19,,,,
Tokens,"Chatterfang, Squirrel General",{2}{G},Legendary Creature — Squirrel Warrior,$8.42,,,,
